name,value,year,lastValue,rank,color
CSKA Moscow,12,16,11,3,374 100 42
Anadolu Efes,10,16,9,4,216 100 32
Real Madrid,13,16,12,2,288 48 36
AX Armani Exchange Olimpia Milan,8,16,7,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,7,16,7,10,343 100 43
Panathinaikkos OPAP Athens,7,16,7,11,149 100 24
Maccabi FOX Tel Aviv,5,16,5,14,42 96 61
Zalgris Kaunas,7,16,7,9,149 100 24
Buducnost VOLI Podgorica,3,16,3,15,216 100 32
Darussafaka Tekfen,2,16,2,16,149 100 24
FC Bayern Munich,8,16,8,8,374 100 42
FC Barcelona Lassa,9,16,8,6,346 100 39
Khimki Moscow Region,6,16,5,12,42 96 61
Herbalife Gran Canaria,6,16,6,13,42 96 61
Fenerbahçe Beko,15,17,15,1,42 96 61
Olympiacos Piraeus,11,17,10,5,346 100 39
CSKA Moscow,13,17,12,3,374 100 42
Anadolu Efes,11,17,10,4,216 100 32
Real Madrid,14,17,13,2,288 48 36
AX Armani Exchange Olimpia Milan,8,17,8,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,7,17,7,10,343 100 43
Panathinaikkos OPAP Athens,8,17,7,8,149 100 24
Maccabi FOX Tel Aviv,6,17,5,13,42 96 61
Zalgris Kaunas,7,17,7,11,149 100 24
Buducnost VOLI Podgorica,3,17,3,15,216 100 32
Darussafaka Tekfen,2,17,2,16,149 100 24
FC Bayern Munich,8,17,8,9,374 100 42
FC Barcelona Lassa,10,17,9,6,346 100 39
Khimki Moscow Region,7,17,6,12,42 96 61
Herbalife Gran Canaria,6,17,6,14,42 96 61
Fenerbahçe Beko,16,18,15,1,42 96 61
Olympiacos Piraeus,11,18,11,5,346 100 39
CSKA Moscow,13,18,13,3,374 100 42
Anadolu Efes,12,18,11,4,216 100 32
Real Madrid,15,18,14,2,288 48 36
AX Armani Exchange Olimpia Milan,8,18,8,9,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,8,18,7,8,343 100 43
Panathinaikkos OPAP Athens,8,18,8,10,149 100 24
Maccabi FOX Tel Aviv,7,18,6,11,42 96 61
Zalgris Kaunas,7,18,7,13,149 100 24
Buducnost VOLI Podgorica,4,18,3,15,216 100 32
Darussafaka Tekfen,2,18,2,16,149 100 24
FC Bayern Munich,9,18,8,7,374 100 42
FC Barcelona Lassa,11,18,10,6,346 100 39
Khimki Moscow Region,7,18,7,12,42 96 61
Herbalife Gran Canaria,6,18,6,14,42 96 61
Fenerbahçe Beko,17,19,16,1,42 96 61
Olympiacos Piraeus,12,19,11,5,346 100 39
CSKA Moscow,14,19,13,3,374 100 42
Anadolu Efes,13,19,12,4,216 100 32
Real Madrid,15,19,15,2,288 48 36
AX Armani Exchange Olimpia Milan,8,19,8,9,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,9,19,8,7,343 100 43
Panathinaikkos OPAP Athens,8,19,8,12,149 100 24
Maccabi FOX Tel Aviv,8,19,7,10,42 96 61
